CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD
2003ic,111,63,1,0.05311,0.00002,0.05196,0.00002,0.05126,0.00088,198.53,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.58,0.15,1.60,-999.00,52906.2891,0.9537,-1.5812,0.2614,-0.0123,0.0279,17.3593,0.0571,17.2349,2.0430E-03,1.0750E-04,-0.0003,0.0000,-0.0000,15,0.3858,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.5582,0.1175,0.0000,-0.0730,1.0000,0.0047
2003it,29,63,1,0.02528,0.00001,0.02413,0.00001,0.02510,0.00085,-284.91,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.72,0.22,1.44,-999.00,52935.1641,0.5550,-1.6026,0.2497,0.0622,0.0221,16.1412,0.0280,15.7990,6.2736E-03,1.6157E-04,0.0009,-0.0000,-0.0000,12,0.9252,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.1222,0.1555,0.0000,-0.0908,1.0000,0.0121
2003iv,69,63,1,0.03426,0.00016,0.03351,0.00016,0.03491,0.00088,-405.52,250.00,0.12,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.98,0.16,1.36,-999.00,52934.0391,0.4046,-2.0278,0.2832,-0.0545,0.0238,16.7843,0.0344,16.6978,3.4694E-03,1.0998E-04,0.0009,-0.0000,-0.0000,12,0.9987,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0211,0.1146,0.0000,-0.0509,1.0000,0.0033
2004L,13,63,1,0.03229,0.00001,0.03344,0.00001,0.03373,0.00086,-83.47,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.45,0.10,0.93,-999.00,53028.6641,0.0231,-0.4404,0.1925,0.1431,0.0222,16.9850,0.0459,16.5790,2.8841E-03,1.2192E-04,0.0006,-0.0000,-0.0000,24,0.0409,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.9022,0.1700,0.0000,-0.0923,1.0000,0.0180
2004as,197,63,1,0.03139,0.00001,0.03250,0.00001,0.03296,0.00086,-136.07,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,8.68,0.21,-0.06,-999.00,53086.1523,0.1953,0.3248,0.1951,0.0487,0.0189,16.7045,0.0232,16.6157,3.7342E-03,7.9933E-05,0.0008,-0.0000,-0.0000,23,0.6824,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.9389,0.1580,0.0000,-0.0296,1.0000,0.0164
2004ef,0,64,1,0.03101,0.00002,0.02978,0.00002,0.03012,0.00086,-99.55,250.00,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.82,0.17,1.06,-999.00,53264.7148,0.0486,-1.4005,0.0373,0.0738,0.0098,16.5993,0.0130,16.2560,4.1140E-03,4.9282E-05,0.0000,-0.0000,-0.0000,224,1.0000,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.5792,0.1422,0.0000,-0.0934,1.0000,0.0132
2004gc,123,5,1,0.03192,0.00006,0.03196,0.00006,0.03267,0.00086,-206.04,250.00,0.18,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.30,0.14,1.32,-999.00,53326.3633,0.2686,-0.7070,0.0645,0.1075,0.0158,16.5240,0.0404,16.1816,4.4097E-03,1.6409E-04,-0.0001,0.0000,-0.0000,86,0.7231,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.5048,0.1501,0.0000,-0.0876,1.0000,0.0155
2004gs,126,5,1,0.02740,0.00001,0.02829,0.00001,0.02857,0.00086,-79.75,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.61,0.13,1.47,-999.00,53356.2422,0.1097,-1.8871,0.0455,0.1535,0.0125,16.8940,0.0133,16.2347,3.1361E-03,3.8363E-05,-0.0000,-0.0000,-0.0000,121,0.3839,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.5579,0.1650,0.0000,-0.1041,1.0000,0.0191
2004gu,46,5,1,0.04558,0.00002,0.04670,0.00002,0.04664,0.00087,18.53,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.22,0.22,1.48,-999.00,53363.0703,0.1505,1.3944,0.0782,0.0757,0.0112,17.1573,0.0122,17.2470,2.4609E-03,2.7738E-05,-0.0000,-0.0000,-0.0000,123,0.9962,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.5702,0.1267,0.0000,-0.0828,1.0000,0.0109
2005M,77,64,1,0.02484,0.00005,0.02584,0.00005,0.02598,0.00086,-42.12,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.93,0.08,0.49,-999.00,53406.7539,0.0527,1.2017,0.0487,-0.0015,0.0100,15.6523,0.0107,15.8521,9.8418E-03,9.7180E-05,0.0000,-0.0000,-0.0000,198,0.9991,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.1753,0.1363,0.0000,-0.0206,1.0000,0.0103
