Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,mu_obs,mu_theory,residual,residual_centered
174,ZTF18aatzygk,0.08263031,2.976e-05,z_gal,58262.875316206686,0.00061169,0.2120070818654816,0.004717072,0.05710488,1.8362223095385493e-05,0.075287186,0.02724003,5.4397650518799894e-08,-0.000619502,-8.49e-05,-2.06e-07,-4.3e-07,6.485290542253548e-05,0.036130067,3.1,0,3.3203089954575684e-15,251.384161,59.918638,snia-cosmo,norm,1.0,0.0,2018bsu,100.0,8.033671548388968,37.87529446317939,-29.84162291479042,-0.24153579037808726
175,ZTF18aauhxce,0.08317448,1.456e-05,z_gal,58271.23109508082,0.000516052,-0.358276799,0.071726485,0.1195868077375053,1.7126972162953016e-05,0.1579301809263544,0.029898759,-5.95e-07,0.00219688,0.001023764,-6.66e-07,-4.45e-07,0.000608328,0.01665477,3.1,0,5.178911286531575e-16,177.568725,51.453406,snia-cosmo,91t,1.0,0.0,2018cec,100.0,8.218266336168325,37.89035988960231,-29.67209355343398,-0.07200642902164844
176,ZTF18aauizcr,0.03391415,1.397e-05,z_gal,58266.11375089269,0.003391964,-1.824638692,-0.066718023,0.096128772,0.000114336,0.1109014085842013,0.030557449,-1.14e-06,-0.000820557,0.000392386,-2.35e-06,-3e-06,0.000206588,0.015826338,3.1,0,0.090558303,173.61612,46.36262,snia-cosmo,norm,1.0,1.0,2018btb,100.0,6.173871914243141,35.866189235825814,-29.692317321582674,-0.0922301971703412
177,ZTF18aaumeys,0.03628967,2.384e-05,z_gal,58267.213226115215,0.003526977,0.7499603850399585,-0.031601445,0.061206606,0.000105846,0.056824466,0.026720278,4.525235954305846e-07,-0.000215619,-0.000131639,1.7249691031201428e-08,-2.44e-06,-0.000168778,0.008288672,3.1,0,0.4121241947962803,214.312884,59.276376,snia-cosmo,91t,1.0,1.0,2018bpd,100.0,6.131493431073446,36.016996462581766,-29.88550303150832,-0.2854159070959881
178,ZTF18aaumlfl,0.08737274,2.168e-05,z_gal,58265.63507725424,0.000499188,-1.187476547,-0.083560703,0.063291142,1.5026480012039002e-05,0.073567734,0.028251714,7.963875663779359e-08,-0.000239532,-0.000254668,-8.11e-08,-3.63e-07,-9.95e-05,0.020051381,3.1,0,0.4256969462760253,244.270713,50.792461,snia-cosmo,norm,1.0,1.0,2018btg,100.0,8.25433965805578,38.003531609105465,-29.749191951049685,-0.1491048266373518
179,ZTF18aaunfqq,0.07108031,1.013e-05,z_gal,58267.91602744148,0.000663543,-0.825737433,0.01835056,0.05818791,2.0221341433931484e-05,0.063884095,0.027200709,-7.9e-08,0.000519696,9.059721083826324e-06,-1.78e-07,-4.75e-07,4.2823745337174513e-05,0.008497173,3.1,0,0.3097444659992364,238.579977,39.453963,snia-cosmo,norm,1.0,1.0,2018lpb,100.0,7.945327320063614,37.53096269360766,-29.58563537354405,0.014451750868282431
180,ZTF18aauocnw,0.08865003,1.901e-05,z_gal,58269.85594508045,0.000559299,-0.076151278,-0.044165468,0.07805003,1.685352487919132e-05,0.078214614,0.02786699,2.2226889402501373e-08,-0.001152684,-0.000176541,-1.48e-07,-4.01e-07,-4.17e-05,0.031388391,3.1,0,2.1553832065402063e-06,271.165145,41.549484,snia-cosmo,norm,1.0,1.0,2018cae,99.23076923076924,8.130889892922317,38.036938089816104,-29.906048196893785,-0.3059610724814519
181,ZTF18aaupmks,0.03821112,1.012e-05,z_gal,58260.94123041927,0.003488514,-0.110272805,-0.074201727,0.1659877141064498,0.000111184,0.085873895,0.031219921,-1.21e-06,-0.006653765,-0.000193581,-1.61e-07,-2.88e-06,-0.000172158,0.052414547,3.1,0,0.8358090260599885,291.911558,61.947225,snia-cosmo,norm/99aa,1.0,1.0,2018bsr,100.0,6.143398824459302,36.13209168227365,-29.98869285781435,-0.38860573340201654
182,ZTF18aauvnhh,0.05830778,1.361e-05,z_gal,58262.14971894157,0.000811907,-0.451611192,0.176517236,0.112559837,2.750655859016604e-05,0.1300670984907107,0.029039753,2.292390992064397e-07,-0.005918551,-0.000222365,-1.19e-06,-6.95e-07,0.000803969,0.017021634,3.1,0,1.511983678236855e-07,213.343771,22.578373,snia-cosmo,norm,1.0,1.0,2018chd,100.0,7.72623428557912,37.08128949234338,-29.35505520676426,0.24503191764807397
183,ZTF18aauworo,0.04977343,1.274e-05,z_gal,58269.83050983822,0.001770986,-0.153688155,-0.043164604,0.3600967556230898,6.993380467574541e-05,0.1486096047858634,0.031452973,-1.06e-05,-0.025729102,0.002379149,-5.16e-07,-1.85e-06,-2.02e-05,0.051283922,3.1,0,0.796733108,239.671057,21.120444,snia-cosmo,norm,1.0,1.0,2018bwb,100.0,6.879462179953637,36.724373784638416,-29.84491160468478,-0.2448244802724453
